Month,NG_Production
Nov 2022,3023101
Oct 2022,3119022
Sep 2022,3016160
Aug 2022,3079315
Jul 2022,3054757
Jun 2022,2955758
May 2022,3030201
Apr 2022,2895023
Mar 2022,2958286
Feb 2022,2647041
Jan 2022,2953145
Dec 2021,3036735
Nov 2021,2931187
Oct 2021,3000951
Sep 2021,2854280
Aug 2021,2955658
Jul 2021,2942674
Jun 2021,2826020
May 2021,2929661
Apr 2021,2837647
Mar 2021,2907236
Feb 2021,2412171
Jan 2021,2883578
Dec 2020,2857517
Nov 2020,2761141
Oct 2020,2767894
Sep 2020,2699193
Aug 2020,2786168
Jul 2020,2795189
Jun 2020,2657961
May 2020,2707953
Apr 2020,2786410
Mar 2020,2957002
Feb 2020,2761222
Jan 2020,2955097
Dec 2019,3008614
Nov 2019,2914843
Oct 2019,2963416
Sep 2019,2842862
Aug 2019,2926429
Jul 2019,2856964
Jun 2019,2749637
May 2019,2833477
Apr 2019,2721306
Mar 2019,2798471
Feb 2019,2516133
Jan 2019,2766868
Dec 2018,2774454
Nov 2018,2698177
Oct 2018,2740273
Sep 2018,2618670
Aug 2018,2662285
Jul 2018,2609653
Jun 2018,2476154
May 2018,2545810
Apr 2018,2435681
Mar 2018,2521151
Feb 2018,2250905
Jan 2018,2441063
Dec 2017,2491914
Nov 2017,2392537
Oct 2017,2397665
Sep 2017,2279811
Aug 2017,2315312
Jul 2017,2316614
Jun 2017,2219000
May 2017,2270953
Apr 2017,2197733
Mar 2017,2268204
Feb 2017,2003393
Jan 2017,2187447
Dec 2016,2207475
Nov 2016,2160600
Oct 2016,2214145
Sep 2016,2151150
Aug 2016,2237678
Jul 2016,2255564
Jun 2016,2165089
May 2016,2258898
Apr 2016,2211218
Mar 2016,2286521
Feb 2016,2163435
Jan 2016,2280340
Dec 2015,2290495
Nov 2015,2216479
Oct 2015,2300017
Sep 2015,2242155
Aug 2015,2302361
Jul 2015,2299745
Jun 2015,2218529
May 2015,2297826
Apr 2015,2256179
Mar 2015,2298208
Feb 2015,2066675
Jan 2015,2276791
Dec 2014,2269247
Nov 2014,2179157
Oct 2014,2266298
Sep 2014,2171651
Aug 2014,2244834
Jul 2014,2232675
Jun 2014,2115666
May 2014,2174959
Apr 2014,2116226
Mar 2014,2134549
Feb 2014,1914141
Jan 2014,2070203
Dec 2013,2062296
Nov 2013,2029834
Oct 2013,2076228
Sep 2013,2003186
Aug 2013,2075354
Jul 2013,2079830
Jun 2013,1973764
May 2013,2042563
Apr 2013,1983451
Mar 2013,2023443
Feb 2013,1832561
Jan 2013,2023011
Dec 2012,2046213
Nov 2012,1997917
Oct 2012,2061550
Sep 2012,1990747
Aug 2012,2045359
Jul 2012,2055476
Jun 2012,1939055
May 2012,2016486
Apr 2012,1943437
Mar 2012,2013944
Feb 2012,1876815
Jan 2012,2046268
Dec 2011,2034141
Nov 2011,1978161
Oct 2011,2018734
Sep 2011,1893345
Aug 2011,1959548
Jul 2011,1936850
Jun 2011,1862207
May 2011,1934850
Apr 2011,1868299
Mar 2011,1907851
Feb 2011,1647326
Jan 2011,1860566
Dec 2010,1889640
Nov 2010,1802484
Oct 2010,1862916
Sep 2010,1772370
Aug 2010,1826614
Jul 2010,1805745
Jun 2010,1716613
May 2010,1796596
Apr 2010,1726918
Mar 2010,1775686
Feb 2010,1602690
Jan 2010,1737233
Dec 2009,1717182
Nov 2009,1674378
Oct 2009,1729056
Sep 2009,1651952
Aug 2009,1755132
Jul 2009,1741332
Jun 2009,1707221
May 2009,1756127
Apr 2009,1698876
Mar 2009,1786352
Feb 2009,1624266
Jan 2009,1781981
Dec 2008,1744458
Nov 2008,1678551
Oct 2008,1675027
Sep 2008,1488620
Aug 2008,1743909
Jul 2008,1769052
Jun 2008,1681469
May 2008,1716720
Apr 2008,1661637
Mar 2008,1722591
Feb 2008,1590851
Jan 2008,1685717
Dec 2007,1693431
Nov 2007,1633438
Oct 2007,1653527
Sep 2007,1597600
Aug 2007,1633875
Jul 2007,1624779
Jun 2007,1589702
May 2007,1643202
Apr 2007,1551743
Mar 2007,1624634
Feb 2007,1443745
Jan 2007,1576351
Dec 2006,1606404
Nov 2006,1539917
Oct 2006,1597178
Sep 2006,1541937
Aug 2006,1578728
Jul 2006,1573274
Jun 2006,1538715
May 2006,1555948
Apr 2006,1497231
Mar 2006,1555228
Feb 2006,1383249
Jan 2006,1535797
Dec 2005,1518785
Nov 2005,1444276
Oct 2005,1407287
Sep 2005,1336065
Aug 2005,1544420
Jul 2005,1552062
Jun 2005,1537105
May 2005,1575574
Apr 2005,1539843
Mar 2005,1609208
Feb 2005,1428897
Jan 2005,1557077
Dec 2004,1549599
Nov 2004,1508532
Oct 2004,1543492
Sep 2004,1476771
Aug 2004,1575564
Jul 2004,1589277
Jun 2004,1542230
May 2004,1575675
Apr 2004,1551873
Mar 2004,1605170
Feb 2004,1477801
Jan 2004,1594905
Dec 2003,1599746
Nov 2003,1549049
Oct 2003,1620293
Sep 2003,1566968
Aug 2003,1626469
Jul 2003,1594080
Jun 2003,1574488
May 2003,1625900
Apr 2003,1592310
Mar 2003,1662980
Feb 2003,1469711
Jan 2003,1616551
Dec 2002,1613115
Nov 2002,1555595
Oct 2002,1551787
Sep 2002,1516304
Aug 2002,1603278
Jul 2002,1636448
Jun 2002,1569228
May 2002,1628885
Apr 2002,1565063
Mar 2002,1619570
Feb 2002,1449623
Jan 2002,1618892
Dec 2001,1643859
Nov 2001,1593864
Oct 2001,1675894
Sep 2001,1610366
Aug 2001,1656714
Jul 2001,1656620
Jun 2001,1607397
May 2001,1681372
Apr 2001,1624316
Mar 2001,1684817
Feb 2001,1509163
Jan 2001,1671928
Dec 2000,1632066
Nov 2000,1581133
Oct 2000,1661990
Sep 2000,1579598
Aug 2000,1632320
Jul 2000,1620073
Jun 2000,1568345
May 2000,1606752
Apr 2000,1546594
Mar 2000,1635707
Feb 2000,1494676
Jan 2000,1622726
Dec 1999,1603767
Nov 1999,1560232
Oct 1999,1587111
Sep 1999,1531563
Aug 1999,1582361
Jul 1999,1585739
Jun 1999,1540990
May 1999,1578623
Apr 1999,1549496
Mar 1999,1621893
Feb 1999,1465120
Jan 1999,1625336
Dec 1998,1578976
Nov 1998,1539977
Oct 1998,1589442
Sep 1998,1473001
Aug 1998,1622594
Jul 1998,1611386
Jun 1998,1582144
May 1998,1650538
Apr 1998,1591701
Mar 1998,1648339
Feb 1998,1476580
Jan 1998,1658885
Dec 1997,1575412
Nov 1997,1547069
Oct 1997,1597116
Sep 1997,1545194
Aug 1997,1581520
Jul 1997,1584526
Jun 1997,1525325
May 1997,1610527
Apr 1997,1551268
Mar 1997,1627602
Feb 1997,1465907
Jan 1997,1617923
